"","AskeladdenID","Uncal.C14Age","C14SD","C14LabCode","xcoord","ycoord","meancalyear","cent","bio01","bio04","bio05","bio06","bio12","bio15","topo01","centrank","Suit"
"118",96878,4200,80,"T-8127",281995.9261,6643193.158,4715,4700,9.04183197021484,497.377624511719,18.5345554351807,0.197371155023575,1737.87866210938,31.6650104522705,"2",1938806,0.967183768749237
"119",66458,4770,90,"T-1906",280286.3545,6739310.658,5493,5500,6.95805406570435,583.717041015625,18.0499992370605,-5.84999990463257,1915.93298339844,30.9187660217285,"3",6051328,0.779918432235718
"121",66458,4670,170,"T-1238",280286.3545,6739310.658,5358,5400,7.049720287323,583.590759277344,17.75,-5.34999990463257,1908.31103515625,30.4363441467285,"3",5996421.5,0.793604612350464
"122",66458,4590,70,"T-1910",280286.3545,6739310.658,5290,5300,7.54138708114624,542.091430664062,18.25,-2.84999990463257,1963.24389648438,31.0535926818848,"3",6227383,0.809089064598083
"123",6477,5160,120,"T-7519",280411.4449,6739309.806,5919,5900,8.78701686859131,514.845703125,19.25,-0.0500000007450581,1903.11572265625,31.5981330871582,"3",5920623,0.932266652584076
"124",109879,7565,150,"T-19173",288106.9247,6703728.046,8362,8400,3.77698421478271,734.905700683594,16.2855625152588,-15.2806987762451,1764.13647460938,32.7208671569824,"6",28329669.5,0.0613964237272739
"127",138737,7030,30,"Beta-549655",289973.5272,6696418.933,7868,7900,5.54021310806274,678.754089355469,17.6064338684082,-11.2935657501221,1802.22436523438,33.6450042724609,"3",3455181.5,0.701855897903442
"128",138737,5950,30,"Beta-549654",289973.5272,6696418.933,6773,6800,6.10512828826904,664.55029296875,18.1595001220703,-9.49356555938721,1801.01953125,32.4570655822754,"3",4452479,0.76270067691803
"130",109879,6900,40,"Beta-364582",288106.9247,6703728.046,7729,7700,5.83687543869019,681.832946777344,17.9855632781982,-10.6144371032715,1817.28564453125,34.3266105651855,"6",27583141,0.101859390735626
"131",109879,7060,40,"Beta-364580",288106.9247,6703728.046,7888,7900,5.54300355911255,675.194152832031,17.5621223449707,-11.1144371032715,1857.78649902344,33.9053382873535,"6",27785049,0.0873721539974213
"135",174289,6580,30,"Beta-398708",285084.2038,6616684.694,7475,7500,6.05156087875366,637.571044921875,16.9735679626465,-9.47453212738037,1666.06591796875,32.73779296875,"2",2187148,0.791780889034271
"144",174289,8190,30,"Beta-398707",285084.2038,6616684.694,9126,9100,3.70934724807739,734.580017089844,15.5622320175171,-17.6980991363525,1639.64086914062,33.6631088256836,"2",3169335.5,0.554897010326385
"145",174289,7220,30,"Beta-398714",285084.2038,6616684.694,8015,8000,4.42547035217285,698.96435546875,15.913236618042,-14.898099899292,1654.56628417969,33.9516220092773,"2",2639426.5,0.624472916126251
"148",175012,6230,30,"Beta-477305",284895.6883,6697070.755,7117,7100,6.45568752288818,610.251159667969,17.7495994567871,-6.66127681732178,1876.6640625,31.5156593322754,"3",6061730,0.752540707588196
"150",95608,5230,40,"Beta-285782",288997.0363,6694588.75,5984,6000,8.73020076751709,514.946594238281,18.9115905761719,0.264226317405701,1848.46105957031,32.0444984436035,"3",3984154.5,0.946098685264587
"151",175012,4980,40,"Poz-96542",284895.6883,6697070.755,5698,5700,7.36462020874023,563.657958984375,17.9829978942871,-3.6690194606781,1943.05517578125,31.5331363677979,"3",6828558,0.803871333599091
"157",95602,4100,80,"Beta-67780",288961.1326,6694606.056,4625,4600,8.31564140319824,533.874145507812,18.4170837402344,-1.72926676273346,1840.47399902344,30.0319786071777,"3",4363162.5,0.926759243011475
"158",91277,6090,40,"Poz-19336",355006.7965,6693012.414,6954,7000,3.77844214439392,806.575500488281,18.6262531280518,-13.9499998092651,1555.69897460938,37.8454513549805,"5",12401367,0.551951229572296
"159",15917,5439,137,"TUa-5855",324940.5808,6728568.175,6215,6200,4.56132984161377,721.928894042969,18.0981616973877,-11.9727725982666,1960.62451171875,33.5472640991211,"5",18456912.5,0.392413467168808
"160",91277,6340,40,"Poz-19342",355006.7965,6693012.414,7263,7300,2.72109842300415,852.325500488281,18.4262542724609,-17.7737464904785,1550.93640136719,37.8164367675781,"5",12686357.5,0.444594264030457
"161",6716,4930,80,"T-3578",291751.3381,6629398.565,5674,5700,6.68342399597168,562.049865722656,16.9797973632812,-4.5016622543335,2006.37292480469,31.5981769561768,"6",33282995.5,0.093708761036396
"163",174289,7080,40,"Beta-398715",285084.2038,6616684.694,7898,7900,5.62452268600464,661.563049316406,17.0254669189453,-11.6981000900269,1700.03686523438,34.7110557556152,"2",2397523,0.727550029754639
"164",106016,4435,45,"Tua-6919",299758.2171,6612463.327,5045,5000,7.52927589416504,566.638000488281,17.8312110900879,-3.49739718437195,1838.62194824219,31.6027317047119,"3",4216380,0.873582363128662
"165",15917,6420,40,"Poz-11990",324940.5808,6728568.175,7349,7300,3.50234150886536,784.985778808594,17.840051651001,-15.2146635055542,1943.72119140625,34.2552223205566,"5",17879779.5,0.3114914894104
"166",15917,3860,35,"Poz 11993",324940.5808,6728568.175,4285,4300,5.2852611541748,674.984741210938,17.9400520324707,-9.13717555999756,2058.65625,33.1485176086426,"5",21224371,0.403762012720108
"169",15917,6230,140,"T-2127",324940.5808,6728568.175,7111,7100,4.85018253326416,718.031066894531,18.6400508880615,-10.2049741744995,1985.52770996094,33.1593742370605,"5",18902399.5,0.405095398426056
