"","meancalyear","prdens"
"288",10713,0.050561032214806
"289",10712,0.0506687318846955
"290",10711,0.0507769430056801
"291",10710,0.0508856403771906
"292",10709,0.050992782031415
"293",10708,0.0510983460777346
"294",10707,0.0512023106929932
"295",10706,0.0513046541245991
"296",10705,0.0514053546938564
"297",10704,0.0515037666538822
"298",10703,0.051599844280646
"299",10702,0.0516935428530796
"300",10701,0.0517848186605468
"301",10700,0.0518736290114607
"302",10699,0.0519602588472291
"303",10698,0.0520446668447492
"304",10697,0.0521268124413001
"305",10696,0.0522066558494882
"306",10695,0.0522841580718678
"307",10694,0.0523586851033553
"308",10693,0.0524301855803103
"309",10692,0.0524986089748401
"310",10691,0.0525639056192729
"311",10690,0.0526260267325705
"312",10689,0.0526840463978548
"313",10688,0.0527379007349869
"314",10687,0.0527875832457804
"315",10686,0.0528329741191747
"316",10685,0.0528740371509184
"317",10684,0.0529088638129645
"318",10683,0.0529373498625572
"319",10682,0.0529594050475864
"320",10681,0.0529749533779459
"321",10680,0.0529839333746335
"322",10679,0.0529859174150891
"323",10678,0.0529808817228911
"324",10677,0.0529688895913845
"325",10676,0.0529499201785148
"326",10675,0.052924022294014
"327",10674,0.0528918101951114
"328",10673,0.0528533114507859
"329",10672,0.0528086857187254
"330",10671,0.0527580395112553
"331",10670,0.0527015303794741
"332",10669,0.0526404878035759
"333",10668,0.0525749864698673
"334",10667,0.0525051083534004
"335",10666,0.0524309270441661
"336",10665,0.0523525564739901
"337",10664,0.0522710677714222
"338",10663,0.0521865307171538
"339",10662,0.0520990185488817
"340",10661,0.0520086079124675
"341",10660,0.0519153787961158
"342",10659,0.0518195797453132
"343",10658,0.051721280988063
"344",10657,0.0516205380902874
"345",10656,0.0515174089364682
"346",10655,0.0514119537216333
"347",10654,0.0513043041386943
"348",10653,0.0511944862962903
"349",10652,0.0510825816168631
"350",10651,0.0509686467468851
"351",10650,0.0508527400948527
"352",10649,0.0507359680142681
"353",10648,0.0506183577257035
"354",10647,0.0504999369802099
"355",10646,0.0503807340188942
"356",10645,0.050260777533112
"357",10644,0.0501405519110889
"358",10643,0.0500201620600887
"359",10642,0.0498996634882419
"360",10641,0.0497791115155806
"361",10640,0.0496585783010972
"362",10639,0.0495383837633405
"363",10638,0.049418619187721
"364",10637,0.0492993740434826
"365",10636,0.0491807359374559
"366",10635,0.0490627905752038
"367",10634,0.0489454790064837
"368",10633,0.0488288739684592
"369",10632,0.0487130153897265
"370",10631,0.0485979065658469
"371",10630,0.0484836481655614
"372",10629,0.0483688536982024
"373",10628,0.0482535086888326
"374",10627,0.0481376492751607
"375",10626,0.0480212870639086
"376",10625,0.047904434092752
"377",10624,0.0477858673755162
"378",10623,0.0476656017637133
"379",10622,0.0475436533793913
"380",10621,0.0474200396776656
"381",10620,0.0472947795099307
"382",10619,0.0471672971043279
"383",10618,0.047037661151705
"384",10617,0.0469059429925645
"385",10616,0.0467722165409082
"386",10615,0.0466365581866171
"387",10614,0.0464978600579369
"388",10613,0.0463562971092145
"389",10612,0.0462120359102051
"390",10611,0.0460652355533293
"391",10610,0.0459160972250323
"392",10609,0.0457650381954567
"393",10608,0.0456123112583565
"394",10607,0.0454581672083738
"395",10606,0.0453028816234831
"396",10605,0.0451467246689371
"397",10604,0.044989704452005
"398",10603,0.044832207108743
"399",10602,0.0446746187963637
"400",10601,0.0445173219978597
"401",10600,0.0443606816904026
"402",10599,0.0442048426475125
"403",10598,0.0440501828978916
"404",10597,0.0438970845501177
"405",10596,0.0437458824922112
"406",10595,0.0435969014125327
"407",10594,0.0434510043261729
"408",10593,0.0433083872843478
"409",10592,0.0431692308522353
"410",10591,0.0430336495368438
"411",10590,0.0429017089907016
"412",10589,0.0427728043532511
"413",10588,0.0426469602555133
"414",10587,0.0425240977564441
"415",10586,0.0424041504243637
"416",10585,0.042287013253996
"417",10584,0.0421719005376921
"418",10583,0.0420586087447945
"419",10582,0.0419469477333991
"420",10581,0.0418368096736823
"421",10580,0.0417280123926196
"422",10579,0.0416197555738582
"423",10578,0.0415119810761188
"424",10577,0.0414045994518924
"425",10576,0.0412976097398781
"426",10575,0.0411909608738036
"427",10574,0.0410838361568385
"428",10573,0.0409762135581419
"429",10572,0.0408680717919439
"430",10571,0.0407594414423436
"431",10570,0.0406502628662958
"432",10569,0.040540664977147
"433",10568,0.0404304008171145
"434",10567,0.0403192177560633
"435",10566,0.040206878998332
"436",10565,0.0400931301904558
"437",10564,0.039977467177869
"438",10563,0.0398596697067311
"439",10562,0.0397396210419237
"440",10561,0.0396172015489947
"441",10560,0.0394924585591061
"442",10559,0.0393670531757813
"443",10558,0.0392410251502084
"444",10557,0.0391145166375014
"445",10556,0.038987671632291
"446",10555,0.038860665666886
"447",10554,0.0387356870985869
"448",10553,0.0386129663958678
"449",10552,0.0384927303703037
"450",10551,0.038375201568149
"451",10550,0.0382605976139609
"452",10549,0.0381501092993716
"453",10548,0.0380437917154994
"454",10547,0.0379417543272797
"455",10546,0.0378440676628386
"456",10545,0.0377507909807119
"457",10544,0.0376606910179284
"458",10543,0.0375738678053208
"459",10542,0.0374904145636798
"460",10541,0.0374104171338089
"461",10540,0.0373339709252447
"462",10539,0.037258585949367
"463",10538,0.0371842731552172
"464",10537,0.0371110158923964
"465",10536,0.0370387554981519
"466",10535,0.0369674427496017
"467",10534,0.0368952566375868
"468",10533,0.0368221760119145
"469",10532,0.036748170782255
"470",10531,0.0366732024731825
"471",10530,0.0365971769023002
"472",10529,0.0365191861511221
"473",10528,0.0364392859232138
"474",10527,0.0363575501091481
"475",10526,0.0362740918800436
"476",10525,0.0361888610747086
"477",10524,0.0361016883063987
"478",10523,0.0360126853755119
"479",10522,0.0359219496586765
"480",10521,0.0358295808888327
"481",10520,0.0357356809960108
"482",10519,0.0356396700996632
"483",10518,0.0355416079942134
"484",10517,0.0354415239020361
"485",10516,0.0353395255552319
"486",10515,0.0352356324138195
"487",10514,0.0351316412579555
"488",10513,0.0350274832532387
"489",10512,0.0349230863171079
"490",10511,0.0348183756888876
"491",10510,0.0347132665664095
"492",10509,0.0346087845417383
"493",10508,0.0345048858627547
"494",10507,0.0344014835701381
"495",10506,0.0342984987044234
"496",10505,0.034195860242391
"497",10504,0.0340944535190996
"498",10503,0.0339942943464434
"499",10502,0.0338953981760826
"500",10501,0.0337977800970757
"501",10500,0.0337014548307092
"502",10499,0.0336066826640861
"503",10498,0.0335134942526875
"504",10497,0.0334219194500602
"505",10496,0.0333319872995133
